wordToDisambiguate	sentence	sense1_pictoID_correct_arasaac	sense_pictoID_wsd_arasaac	sense_wolf_correct	sense_wolf_wsd_arasaac	synset_lemma_wsd_arasaac	url_wsd_arasaac	sense_wolf_wsd_sclera	synset_lemma_wsd_sclera	url_wsd_sclera	sense_wolf_wsd_beta	synset_lemma_wsd_beta	url_wsd_beta
alcool	avez-vous bu de l’alcool ?	[26626]	[26626]	fre-30-07884567-n	fre-30-07884567-n	['boisson alcoolisée', 'boisson', 'breuvage', 'drogue', 'apéritif', 'cordial', 'eau-de-vie', 'esprit', 'gnole', 'gnôle', 'kava', 'kava-kava', 'kawa', 'kumiz', 'liqueur', 'perry', 'poiré', 'pulque', 'ratafia', 'saké', 'spiritueux', 'vin', 'alcoolique', 'alcoolisé', 'intoxiquer']	<p> <img src="https://static.arasaac.org/pictograms/26626/26626_500.png" width="110"  heigth="110"> <p>	fre-30-07884567-n	['boisson alcoolisée', 'boisson', 'breuvage', 'drogue', 'apéritif', 'cordial', 'eau-de-vie', 'esprit', 'gnole', 'gnôle', 'kava', 'kava-kava', 'kawa', 'kumiz', 'liqueur', 'perry', 'poiré', 'pulque', 'ratafia', 'saké', 'spiritueux', 'vin', 'alcoolique', 'alcoolisé', 'intoxiquer']	<p> <img src="http://webservices.ccl.kuleuven.be/picto/sclera//alcohol.png" width="110"  heigth="110"> <p>	[]	None	<p>  <p>
crème	avez-vous appliqué une crème sur la lésion ?	[3376, 32204, 35637, 35829]	[3376, 32204, 35637, 35829]	fre-30-03128519-n	fre-30-03128519-n	['pommade', 'émollient', 'article de toilette', 'aralia', 'aralies', 'cérat de galien', 'cérat de Galien', 'Cérat de Galien', 'crème solaire', 'nard']	<p> <img src="https://static.arasaac.org/pictograms/3376/3376_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/32204/32204_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/35637/35637_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/35829/35829_500.png" width="110"  heigth="110"> <p>	fre-30-07847198-n	['laitage', 'produit laitier', 'crémeux']	<p> <img src="http://webservices.ccl.kuleuven.be/picto/sclera//room.png" width="110"  heigth="110"> <p>	[]	None	<p>  <p>
perdre	avez-vous perdu de la sensibilité ?	[6175, 24759, 24760, 24779, 24780, 31894]	[24779, 24780]	fre-30-02287618-v_fre-30-02287789-v	fre-30-02197091-v	['disparaître', 'manquer', 'paumer', 'supprimer']	<p> <img src="https://static.arasaac.org/pictograms/24779/24779_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/24780/24780_500.png" width="110"  heigth="110"> <p>	[]	None	<p>  <p>	fre-30-01099592-v	['paumer', 'manque', 'manquement', 'perdant', 'refus']	<p> <img src="http://webservices.ccl.kuleuven.be/picto/beta//verliezen.png" width="110"  heigth="110"> <p>
opérer	il ne faut pas vous opérer	[5530]	[5530]	fre-30-00083809-v	fre-30-00083809-v	['guérir', 'soigner', 'traiter', 'stériliser', 'chirurgical', 'chirurgie', 'opération']	<p> <img src="https://static.arasaac.org/pictograms/5530/5530_500.png" width="110"  heigth="110"> <p>	[]	None	<p>  <p>	[]	None	<p>  <p>
café	buvez-vous beaucoup de café ?	[2296, 24479, 32512, 25564]	[2296, 24479, 32512]	fre-30-07929519-n_fre-30-07929351-n	fre-30-07929519-n	['boisson', 'breuvage', 'café à la turque', 'café express', 'café irlandais', 'café turc', 'Café turc', 'expresso', 'Irish coffee', 'moka']	<p> <img src="https://static.arasaac.org/pictograms/2296/2296_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/24479/24479_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/32512/32512_500.png" width="110"  heigth="110"> <p>	fre-30-07929519-n	['boisson', 'breuvage', 'café à la turque', 'café express', 'café irlandais', 'café turc', 'Café turc', 'expresso', 'Irish coffee', 'moka']	<p> <img src="http://webservices.ccl.kuleuven.be/picto/sclera//koffie-zak.png" width="110"  heigth="110"> <p>	fre-30-07929519-n	['boisson', 'breuvage', 'café à la turque', 'café express', 'café irlandais', 'café turc', 'Café turc', 'expresso', 'Irish coffee', 'moka']	<p> <img src="http://webservices.ccl.kuleuven.be/picto/beta//koffie.png" width="110"  heigth="110"> <p>
eau	quand vous sentez la sonde dans votre gorge, avalez un peu d'eau	[2248, 6889, 32464]	[2248, 6889, 32464]	fre-30-07935504-n_fre-30-14845743-n	fre-30-14845743-n	['eau minérale', 'liquide', 'bibine', "dureté de l'eau", 'eau bénite', 'eau de distribution', 'eau de mer', 'eau distillée', 'eau douce', 'Eau douce', 'eau du robinet', 'eau salée', 'saumure', 'titre hydrotimétrique', 'abreuver', 'arroser', 'mouiller']	<p> <img src="https://static.arasaac.org/pictograms/2248/2248_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/6889/6889_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/32464/32464_500.png" width="110"  heigth="110"> <p>	[]	None	<p>  <p>	fre-30-14845743-n	['eau minérale', 'liquide', 'bibine', "dureté de l'eau", 'eau bénite', 'eau de distribution', 'eau de mer', 'eau distillée', 'eau douce', 'Eau douce', 'eau du robinet', 'eau salée', 'saumure', 'titre hydrotimétrique', 'abreuver', 'arroser', 'mouiller']	<p> <img src="http://webservices.ccl.kuleuven.be/picto/beta//koud_water.png" width="110"  heigth="110"> | <img src="http://webservices.ccl.kuleuven.be/picto/beta//water_h2o.png" width="110"  heigth="110"> <p>
interprète	nous allons appeler un interprète	[24619, 33976]	[24619, 33976]	fre-30-10212501-n	fre-30-10212501-n	['traducteur', 'intermédiaire', 'médiateur', 'modérateur', 'truchement', 'drogman', 'symbolique', 'interpréter', 'présenter', 'rendre', 'traduire']	<p> <img src="https://static.arasaac.org/pictograms/24619/24619_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/33976/33976_500.png" width="110"  heigth="110"> <p>	[]	None	<p>  <p>	[]	None	<p>  <p>
répondre	veuillez répondre par oui ou par non, en hochant la tête ou avec des gestes	[9030, 9031, 28433]	[9030, 9031, 10176, 28433]	fre-30-00815686-v_fre-30-00636279-v	fre-30-00815686-v	['confronter', 'réagir', 'affirmer', 'déclarer', 'dire', 'combattre', 'lutter', 'rentrer', 'retourner', 'revenir', 'conséquence', 'répondant', 'réponse']	<p> <img src="https://static.arasaac.org/pictograms/9030/9030_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/9031/9031_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/10176/10176_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/28433/28433_500.png" width="110"  heigth="110"> <p>	fre-30-00815686-v	['confronter', 'réagir', 'affirmer', 'déclarer', 'dire', 'combattre', 'lutter', 'rentrer', 'retourner', 'revenir', 'conséquence', 'répondant', 'réponse']	<p> <img src="http://webservices.ccl.kuleuven.be/picto/sclera//antwoorden.png" width="110"  heigth="110"> <p>	fre-30-00815686-v	['confronter', 'réagir', 'affirmer', 'déclarer', 'dire', 'combattre', 'lutter', 'rentrer', 'retourner', 'revenir', 'conséquence', 'répondant', 'réponse']	<p> <img src="http://webservices.ccl.kuleuven.be/picto/beta//antwoorden.png" width="110"  heigth="110"> <p>
doigt	suivez mon doigt avec les yeux sans bouger la tête, s'il vous plaît	[3298, 9826]	[3298, 9826]	fre-30-05566504-n	fre-30-05566504-n	['doigt', 'extrémité', 'annulaire', 'auriculaire', 'doigt du milieu', 'index', 'majeur', 'medius', 'médius', 'petit doigt', 'pouce', 'ringvinger', 'wijsvinger', 'sentir', 'tâter', 'toucher']	<p> <img src="https://static.arasaac.org/pictograms/3298/3298_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/9826/9826_500.png" width="110"  heigth="110"> <p>	fre-30-13741022-n	['chiffre', 'orteil', 'entier', 'entier relatif', 'Entier relatif', 'entiers relatifs', 'nombre entier', 'positifs', 'chiffre binaire', 'cinq', 'deux', 'élément binaire', 'ennéade', 'Heathrow terminals 1', 'huit', 'IX', 'Kill Gill', 'Moi', 'nageoire', 'neuf', "ogdoade d'hermopolis", 'Phœbé', 'quaternion', 'Quaternion', 'quaternions', 'quatre', 'quatuor', 'sept', 'sextuor', 'sextuplé', 'six', 'tercet', 'triade', 'triolisme', 'trois', 'un', 'Un', 'zéro', 'numériser']	<p> <img src="http://webservices.ccl.kuleuven.be/picto/sclera//12.png" width="110"  heigth="110"> | <img src="http://webservices.ccl.kuleuven.be/picto/sclera//14.png" width="110"  heigth="110"> | <img src="http://webservices.ccl.kuleuven.be/picto/sclera//15.png" width="110"  heigth="110"> | <img src="http://webservices.ccl.kuleuven.be/picto/sclera//16.png" width="110"  heigth="110"> | <img src="http://webservices.ccl.kuleuven.be/picto/sclera//17.png" width="110"  heigth="110"> | <img src="http://webservices.ccl.kuleuven.be/picto/sclera//18.png" width="110"  heigth="110"> | <img src="http://webservices.ccl.kuleuven.be/picto/sclera//19.png" width="110"  heigth="110"> | <img src="http://webservices.ccl.kuleuven.be/picto/sclera//20.png" width="110"  heigth="110"> | <img src="http://webservices.ccl.kuleuven.be/picto/sclera//21.png" width="110"  heigth="110"> | <img src="http://webservices.ccl.kuleuven.be/picto/sclera//22.png" width="110"  heigth="110"> | <img src="http://webservices.ccl.kuleuven.be/picto/sclera//23.png" width="110"  heigth="110"> | <img src="http://webservices.ccl.kuleuven.be/picto/sclera//24.png" width="110"  heigth="110"> | <img src="http://webservices.ccl.kuleuven.be/picto/sclera//25.png" width="110"  heigth="110"> | <img src="http://webservices.ccl.kuleuven.be/picto/sclera//26.png" width="110"  heigth="110"> | <img src="http://webservices.ccl.kuleuven.be/picto/sclera//27.png" width="110"  heigth="110"> | <img src="http://webservices.ccl.kuleuven.be/picto/sclera//28.png" width="110"  heigth="110"> | <img src="http://webservices.ccl.kuleuven.be/picto/sclera//29.png" width="110"  heigth="110"> | <img src="http://webservices.ccl.kuleuven.be/picto/sclera//30.png" width="110"  heigth="110"> | <img src="http://webservices.ccl.kuleuven.be/picto/sclera//31.png" width="110"  heigth="110"> | <img src="http://webservices.ccl.kuleuven.be/picto/sclera//7.png" width="110"  heigth="110"> | <img src="http://webservices.ccl.kuleuven.be/picto/sclera//8.png" width="110"  heigth="110"> | <img src="http://webservices.ccl.kuleuven.be/picto/sclera//cijfers.png" width="110"  heigth="110"> <p>	fre-30-05566504-n	['doigt', 'extrémité', 'annulaire', 'auriculaire', 'doigt du milieu', 'index', 'majeur', 'medius', 'médius', 'petit doigt', 'pouce', 'ringvinger', 'wijsvinger', 'sentir', 'tâter', 'toucher']	<p> <img src="http://webservices.ccl.kuleuven.be/picto/beta//vinger.png" width="110"  heigth="110"> <p>
voir	voyez-vous double ?	[2474, 6564, 11617, 11619, 28673]	[2474, 6564, 11617, 11619, 28673]	fre-30-02129289-v	fre-30-02129289-v	['percevoir', 'comprendre', 'regarder', 'voir', 'vue']	<p> <img src="https://static.arasaac.org/pictograms/2474/2474_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/6564/6564_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/11617/11617_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/11619/11619_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/28673/28673_500.png" width="110"  heigth="110"> <p>	fre-30-02129289-v	['percevoir', 'comprendre', 'regarder', 'voir', 'vue']	<p> <img src="http://webservices.ccl.kuleuven.be/picto/sclera//zien.png" width="110"  heigth="110"> <p>	fre-30-02129289-v	['percevoir', 'comprendre', 'regarder', 'voir', 'vue']	<p> <img src="http://webservices.ccl.kuleuven.be/picto/beta//zien.png" width="110"  heigth="110"> <p>
